行政相对人名称,行政相对人代码1(统一社会信用代码),行政相对人代码2(工商注册号),行政相对人代码3(组织机构代码),行政相对人代码4(税务登记号),行政相对人代码5(事业单位证书号),行政相对人代码6(社会组织登记证号),法定代表人,法定代表人证件类型,行政处罚决定书文号,违法行为类型,违法事实,处罚依据,处罚类别,处罚内容,罚款金额（万元）,没收违法所得、没收非法财物的金额（万元）,暂扣或吊销证照名称及编号,处罚决定日期,处罚有效期,公示截止期,处罚机关,处罚机关统一社会信用代码,数据来源单位,数据来源单位统一社会信用代码,备注,/
北京二元物流有限公司,91110113MA008R0Y29,/,/,/,/,/,崔*民,身份证,京交法(13)字高2020208,违反了《道路货物运输及站场管理规定》第五十九条第(一)款之规定,"北京二元物流有限公司取得道路货物运输经营许可使用无道路运输证车辆参加货物运输,此行为违反了《道路货物运输及站场管理规定》第五十九条第(一)款之规定,根据《道路货物运输及站场管理规定》第五十九条第(一)款之规定,应给予处罚。","根据《道路货物运输及站场管理规定》第五十九条第(一)款之规定,应给予处罚。",罚款,"2020年7月28日15时00分,刘永军驾驶北京二元物流有限公司的京AKC113号货物运输车辆,行驶至延庆区康庄高速综检站,经执法人员苏靖(执法证号:11310057)、张占利(执法证号:11310120),示证检查:该车运输货物为空车,从河北省张家口到北京市大兴区,在检查过程中执法人员发现,该车属于取得道路货物运输经营许可的货运经营者使用无《道路运输证》的车辆参加货物运输。此行为违反了《道路货物运输及站场管理规定》第五十八条第一款之规定。",0.3,/,/,2020-07-28,2021-07-28,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
北京二元物流有限公司,91110113MA008R0Y29,/,/,/,/,/,崔*民,身份证,京交法(13)字高2020207,违反了《道路货物运输及站场管理规定》第五十九条第(一)款之规定,"北京二元物流有限公司取得道路货物运输经营许可使用无道路运输证车辆参加货物运输,此行为违反了《道路货物运输及站场管理规定》第五十九条第(一)款之规定,根据《道路货物运输及站场管理规定》第五十九条第(一)款之规定,应给予处罚。",根据《道路货物运输及站场管理规定》第五十九条第(一)款之规定,罚款,"2020年7月28日15时00分,刘付强驾驶的京AMB103号货物运输车辆,行驶至延庆区康庄高速综检站,经执法人员苏靖(执法证号:11310057)、张占利(执法证号:11310120),示证检查:车辆所属北京二元物流有限公司,该车检查时为空车,从河北省张家口到北京市大兴区,该道路货物运输经营者已取得道路运输经营许可证,但参加货物运输的京AMB103号货物运输车辆无道路运输证,此行为属于取得道路货物运输经营许可的道路货物运输经营者使用无道路运输证的车辆参加货物运输的行为,此行为违反了《道路货物运输及站场管理规定》第五十九条第(一)款之规定。",0.3,/,/,2020-07-28,2021-07-28,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
北京德美博瑞运输有限公司,91110115744709514Q,/,/,/,/,/,王*新,身份证,京交法(13)字高2020239,违反了《道路货物运输及站场管理规定》第五十九条第(一)款之规定,"北京德美博瑞运输有限公司取得道路货物运输经营许可使用无道路运输证车辆参加货物运输,此行为违反了《道路货物运输及站场管理规定》第五十九条第(一)款之规定,根据《道路货物运输及站场管理规定》第五十九条第(一)款之规定,应给予处罚。",根据《道路货物运输及站场管理规定》第五十九条第(一)款之规定,罚款,"2020年8月11日18时00分武耀飞驾驶的京AJE736号货物运输车辆,行驶至延庆区康庄高速综检站,经执法人员李文俊(执法证号:11310135)、 苏靖(执法证号:11310057),示证检查:车辆所属北京德美博瑞运输有限公司该车运输货物为空车,从张家口到北京,该道路货物运输经营者已取得道路运输经营许可证,参加货物运输的京AJE736号货物运输车辆无道路运输证,此行为属于取得道路货物运输经营许可的道路货物运输经营者使用无道路运输证的车辆参加货物运输的行为,此行为违反了《道路货物运输及站场管理规定》第五十八条第(一)款之规定。以上违法事实有现场笔录、询问笔录、证件复印件等予以佐证。当事人无陈述申辩意见。",0.3,/,/,2020-08-11,2021-08-11,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
张家口东辰道路运输有限公司,91130705MA09J01A7E,/,/,/,/,/,武*东,身份证,京交法(13)字稽20072102,违反了《北京市道路运输条例》第十三条第(五)项之规定,"武志东在运营中未携带驾驶员《从业资格证》。此行为违反了《北京市道路运输条例》第十三条第(五)项之规定。根据《北京市道路运输条例》第五十七条第(三)项的规定,应予处罚。",根据《北京市道路运输条例》第五十七条第(三)项的规定,罚款,"2020年7月21日9时00分,武志东驾驶的冀G56216、冀GSS31挂号货物运输车辆,行驶至延庆区康庄路口,经执法人员刘玉山(执法证号:11310055)、陈萌(执法证号:11310090)示证检查:该车取得普通货物道路运输证,驾驶空车,从张家口到延庆,该企业驾驶员在运营中未携带驾驶员《从业资格证》。此行为违反了《北京市道路运输条例》第十三条第(五)项之规定。以上违法事实有现场笔录、询问笔录、证件复印件等予以佐证。当事人无陈述申辩意见。",0.02,/,/,2020-07-21,2020-07-21,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
北京此地增金商贸中心,92110229L5386506XX,/,/,/,/,/,薛*委,身份证,京交法(13)字稽20081001,违反了《北京市道路运输条例》第十三条第(五)项之规定,"北京此地增金商贸中心驾驶员在运营中未携带驾驶员《从业资格证》。此行为违反了《北京市道路运输条例》第十三条第(五)项之规定。根据《北京市道路运输条例》第五十七条第(三)项的规定,应予处罚。",根据《北京市道路运输条例》第五十七条第(三)项的规定,罚款,"2020年8月4日10时42分,王清华驾驶的京AKW258号货物运输车辆,行驶至延庆区大浮坨收费站,经执法人员刘玉山(执法证号:11310055)、陈萌(执法证号:11310090)示证检查:该车取得普通货物道路运输证,运输货物为生活用品,从延庆区到昌平区,该企业驾驶员在运营中未携带驾驶员《从业资格证》。此行为违反了《北京市道路运输条例》第十三条第(五)项之规定。以上违法事实有现场笔录、询问笔录、证件复印件等予以佐证。当事人无陈述申辩意见。",0.02,/,/,2020-08-10,2020-08-10,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
北京卢沟桥质衡混凝土有限责任公司,91110229102187793Y,/,/,/,/,/,郭*阔,身份证,京交法(13)字稽20081003,违反了《北京市道路运输条例》第十三条第(五)项之规定,"北京卢沟桥质衡混凝土有限责任公司驾驶员在运营中未携带驾驶员《从业资格证》。此行为违反了《北京市道路运输条例》第十三条第(五)项之规定。根据《北京市道路运输条例》第五十七条第(三)项的规定,应予处罚。",根据《北京市道路运输条例》第五十七条第(三)项的规定,罚款,"2020年8月5日10时50分,赵顺喜驾驶的京ADE289号货物运输车辆,行驶至延庆区张山营路口,经执法人员时岳峰(执法证号:11310096)、孙建伟(执法证号:11310036)示证检查:该车取得普通货物道路运输证,驾驶空车,从靳家堡到张山营,该企业驾驶员在运营中未携带驾驶员《从业资格证》。此行为违反了《北京市道路运输条例》第十三条第(五)项之规定。以上违法事实有现场笔录、询问笔录、证件复印件等予以佐证。当事人无陈述申辩意见。",0.02,/,/,2020-08-10,2020-08-10,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
北京市中燃兴液化气销售有限公司,9111011378898194XD,/,/,/,/,/,胡*武,身份证,京交法(13)字稽20081002,违反了《北京市道路运输条例》第十三条第(五)项之规定。,"北京市中燃兴液化气销售有限公司未按规定携带押运员从业资格证驾驶京AJH958号货物运输车辆,此行为违反了《北京市道路运输条例》第十三条第(五)项之规定。根据《北京市道路运输条例》第五十七条第(三)项的规定,应予处罚。","根据《北京市道路运输条例》第五十七条第(三)项的规定,",罚款,"2020年8月5日9时30分,司机毛海东押运员叶金龙永驾驶的京AJH958号道路危险货物运输车辆,行驶至大浮坨收费站,经执法人员刘玉山(执法证号:11310055)、陈萌(执法证号:11310090)示证检查:该车取得道路危险货物运输证,运输货物为氧气瓶,从延庆区到朝阳区,该企业专业人员在运营中未携带押运员《从业资格证》。此行为违反了《北京市道路运输条例》第十三条第(五)项之规定。以上违法事实有现场笔录、询问笔录、证件复印件等予以佐证。当事人无陈述申辩意见。",0.02,/,/,2020-08-10,2020-08-10,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
张家口市银联运输有限公司,91130701795468802G,/,/,/,/,/,张*,身份证,京交法(13)字张山营201038,违反了《危险货物道路运输安全管理办法》第二十四条第一款之规定,"张家口市银联运输有限公司运营中未按照规定制作危险货物运单。此行为违反了《危险货物道路运输安全管理办法》第二十四条第一款之规定。根据《危险货物道路运输安全管理办法》第六十条第一款第(二)项的规定,应予处罚。",《危险货物道路运输安全管理办法》第六十条第一款第(二)项,罚款,"2020年8月6日1时31分,司机齐治国押运员许海明驾驶的冀G87103冀GUY23挂号危险货物道路运输车辆,行驶至张山营综合检查站,经执法人员张伟(执法证号:11310095)、赵栋栋(执法证号:11310150)示证检查:该车所有人为张家口市银联运输有限公司,从内蒙古自治区到北京市,运输货物为柴油,在此次检查中该公司在运营中未按照规定制作危险货物运输单。此行为违反了《危险货物道路运输安全管理办法》第二十四条第一款之规定。以上违法事实有现场笔录、询问笔录、证件复印件等予以佐证。当事人无陈述申辩意见。",0.3,/,/,2020-08-06,2020-08-06,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
张家口新堡运输有限公司,91130705MA0F9NDW7X,/,/,/,/,/,丁*杰,身份证,京交法(13)字稽20081201,违反了《北京市道路运输条例》第十三条第(五)项之规定。,"张家口新堡运输有限公司未按规定携带驾驶员从业资格证驾驶冀GA3022号货物运输车辆,此行为违反了《北京市道路运输条例》第十三条第(五)项之规定。根据《北京市道路运输条例》第五十七条第(三)项和《北京市交通运输行政处罚裁量基准》的规定,应予处罚。",根据《北京市道路运输条例》第五十七条第(三)项和《北京市交通运输行政处罚裁量基准》的规定。,罚款,"2020年8月12日8时30分,韩永洋驾驶的冀GA3022号货物运输车辆,行驶至延庆区康庄,经执法人员付景腾(执法证号:11310126)、孙建伟(执法证号:11310036)示证检查:该车取得普通货物道路运输证,驾驶空车,从延庆到河北,该企业专业人员在运营中未携带驾驶员《从业资格证》。此行为违反了《北京市道路运输条例》第十三条第(五)项之规定。以上违法事实有现场笔录、询问笔录、证件复印件等予以佐证。当事人无陈述申辩意见。",0.02,/,/,2020-08-12,2020-08-12,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
北京众福晟达商贸有限公司,91110112330248551T,/,/,/,/,/,刘*芳,身份证,京交法(13)字稽20081206,违反了《北京市道路运输条例》第十三条第(五)项之规定,"该企业专业人员在运营中未携带驾驶员《从业资格证》。此行为违反了《北京市道路运输条例》第十三条第(五)项之规定。根据《北京市道路运输条例》第五十七条第(三)项和《北京市交通运输行政处罚裁量基准》的规定,应予处罚。",根据《北京市道路运输条例》第五十七条第(三)项和《北京市交通运输行政处罚裁量基准》的规定,罚款,"2020年8月12日8时30分,赵宁宁驾驶的京AES567号货物运输车辆,行驶至延庆区大浮坨高速口,经执法人员刘玉山(执法证号:11310055)、陈萌(执法证号:11310090)示证检查:该车取得普通货物道路运输证,车内未拉货物,从昌平到延庆,该企业专业人员在运营中未携带驾驶员《从业资格证》。此行为违反了《北京市道路运输条例》第十三条第(五)项之规定。以上违法事实有现场笔录、询问笔录、证件复印件等予以佐证。当事人无陈述申辩意见。",0.02,/,/,2020-08-12,2020-08-12,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
