项目名称,项目地址,建设单位,预售证号,发证时间,开发企业名称
蓝郡嘉苑,城区镇西环南路25号,北京兆恒房地产开发有限公司,京房售证字( 2006 ) 141 号,20060421,北京兆恒房地产开发有限公司
龙山嘉园,龙山路东侧,北京安宝房地产开发有限公司,京房售证字( 2012 ) 38 号,20120322,北京安宝房地产开发有限公司
华盛香堤苑,半壁店大街25号,北京龙湖中佰置业有限公司,京房售证字( 2008 ) 179 号,20080517,北京龙湖中佰置业有限公司
定泗路88号,北七家镇世纪星城住宅小区,北京市八仙房地产开发有限责任公司,京房售证字( 2005 ) 521 号,20051001,北京市八仙房地产开发有限责任公司
中体奥园,长辛店镇新区崔村居住区A区,北京创世愿景房地产开发有限公司,京房售证字( 2008 ) 428 号,20081130,北京创世愿景房地产开发有限公司
中体奥园,长辛店镇新区崔村居住区B区,北京创世愿景房地产开发有限公司,京房售证字( 2011 ) 160 号,20110904,北京创世愿景房地产开发有限公司
腾龙家园,窦店镇下坡店村北,北京华风腾龙房地产开发有限公司,京房售证字( 2009 ) 151 号,20090527,北京华风腾龙房地产开发有限公司
颐泉家苑韶景居,海淀乡青龙桥项目,北京兴业万发房地产开发有限公司,京房售证字( 2009 ) 111 号,20090430,北京兴业万发房地产开发有限公司
中体奥园,长辛店镇新区崔村居住区D区,北京创世愿景房地产开发有限公司,京房售证字( 2006 ) 488 号,20061115,北京创世愿景房地产开发有限公司
紫润花园,奥运村乡安立路西侧居住用地,北京金力达房地产开发有限公司,京房售证字( 2011 ) 267 号,20111204,北京金力达房地产开发有限公司
紫贵庄园,新平北路南侧,北京庄子天运房地产开发有限公司,京房售证字( 2009 ) 291 号,20090830,北京庄子天运房地产开发有限公司
润枫水尚苑2号地下车库,姚家园113号C-12地块南区,北京润丰房地产开发有限公司,京房售证字( 2007 ) 314 号,20070914,北京润丰房地产开发有限公司
金地银河嘉园,四惠桥东北侧住宅及公建项目用地,北京金地伟盛房地产开发有限公司,京房售证字( 2008 ) 351 号,20080927,北京金地伟盛房地产开发有限公司
欣日嘉园,红螺路西侧,北京东升房地产开发有限公司,京房售证字( 2005 ) 349 号,20050724,北京东升房地产开发有限公司
太和东园,平谷镇新平北路2号,北京锦秀房地产开发有限公司,京房售证字( 2006 ) 291 号,20060731,北京锦秀房地产开发有限公司
永兴园,城关街道农林路东侧,北京永兴达房地产开发有限公司,京房售证字( 2009 ) 307 号,20090918,北京永兴达房地产开发有限公司
大都汇中心,运河核心区IV-11地块F3其它类多功能用地项目,保利（北京）房地产开发有限公司,京房售证字( 2015 ) 184 号,20151107,保利（北京）房地产开发有限公司
定泗路88号,北七家镇世纪星城住宅小区,北京市八仙房地产开发有限责任公司,京房售证字( 2005 ) 281 号,20050628,北京市八仙房地产开发有限责任公司
龙景湾,庞各庄镇开发区西侧京南绿色生态社区B区,北京龙熙房地产开发有限责任公司,京房售证字( 2005 ) 322 号,20050716,北京龙熙房地产开发有限责任公司
华腾国际公寓,北化商业及居住区项目西区地块,北京北化房地产开发有限公司,京房售证字( 2005 ) 276 号,20050626,北京北化房地产开发有限公司
紫庐家园,朝阳区安外北苑,北京恒世基业房地产开发有限公司,京房售证字(2004)552号,20041124,北京恒世基业房地产开发有限公司
明日花园,宾阳村南侧,北京明日房地产开发有限公司,京房售证字( 2007 ) 274 号,20070907,北京明日房地产开发有限公司
明日花园,宾阳村南侧,北京明日房地产开发有限公司,京房售证字( 2007 ) 273 号,20070907,北京明日房地产开发有限公司
翰宏花园,北京市昌平区小汤山镇常兴庄村（翰宏花园二期宗地II）,北京翰宏基业房地产开发有限公司,京房售证字( 2005 ) 46 号,20050206,北京翰宏基业房地产开发有限公司
擎峰阁,西大望路与建国路交汇东南角,北京耀辉置业有限公司,京房售证字( 2008 ) 365 号,20081008,北京耀辉置业有限公司
观湖嘉园,东四环北路外（朝阳公园东小区北二期N5、N6、N7、N8、N9住宅楼及N3配套楼,北京国兴嘉业房地产开发有限责任公司,京房售证字( 2005 ) 181 号,20050518,北京国兴嘉业房地产开发有限责任公司
中体奥园,长辛店镇新区崔村居住区A区,北京创世愿景房地产开发有限公司,京房售证字( 2008 ) 98 号,20080410,北京创世愿景房地产开发有限公司
金地银河嘉园,四惠桥东北侧住宅及公建项目用地,北京金地伟盛房地产开发有限公司,京房售证字( 2008 ) 42 号,20080202,北京金地伟盛房地产开发有限公司
名商大厦,苏州街55号,北京鸿卓房地产开发有限公司,京房售证字(内)1104号,20020909,北京鸿卓房地产开发有限公司
青秀雅苑,黄土岗,中铁房地产集团北京丰基置业有限公司,京房售证字( 2011 ) 29 号,20110403,中铁房地产集团北京丰基置业有限公司
邑尚佳苑,拱辰街道东羊庄村西侧,北京昂内房地产开发有限公司,京房售证字( 2010 ) 86 号,20100418,北京昂内房地产开发有限公司
保利发展中心,崔各庄乡大望京村4号地（636地块）,北京保利营房地产开发有限公司,京房售证字( 2013 ) 106 号,20130629,北京保利营房地产开发有限公司
檀州家园,密云镇兴苑北区,北京紫金长宁房地产开发有限责任公司,京房售证字( 2017 ) 123 号,20170922,北京紫金长宁房地产开发有限责任公司
兴辰佳苑,拱辰街道办事处FS00-LX05-0056地块R2二类居住用地,北京智地兴辰房地产开发有限公司,京房售证字( 2023 ) 28 号,20230324,北京智地兴辰房地产开发有限公司
桂语佳苑,亦庄新城0510街区YZ00-0510-0017地块R2二类居住用地,北京兴意房地产开发有限公司,京房售证字( 2023 )开2 号,20230120,北京兴意房地产开发有限公司
绿港花博中心,后沙峪镇安平街北侧,北京金盛顺鑫置业投资有限公司,京房售证字( 2016 ) 240 号,20161125,北京金盛顺鑫置业投资有限公司
绿地商务中心,太阳宫乡0301-616地块C2商业金融用地,绿地集团北京京凯置业有限公司,京房售证字( 2017 ) 172 号,20171221,绿地集团北京京凯置业有限公司
长安太和大厦,北京市东城区朝阳门南小街南口,北京利山房地产开发有限公司,京房售证字( 2016 ) 103 号,20160619,北京利山房地产开发有限公司
润清雅园,北七家镇平西府土地一级开发项目B-02地块（CP-121101044009-012地块）R2二类居住用地,北京润能置业有限公司,京房售证字( 2022 ) 124 号,20220827,北京润能置业有限公司
朝新嘉园西里二区三区四区,东坝单店二类居住、小学用地项目,北京金隅嘉业房地产开发有限公司,京房售证字( 2014 ) 153 号,20140712,北京金隅嘉业房地产开发有限公司
舒朗苑,良乡镇01-15-01地块,北京盛鹏置业有限公司,京房售证字( 2018 ) 48 号,20180610,北京盛鹏置业有限公司
融庭雅苑,东风乡绿隔地区第一宗地J-2地块,北京泛海东风置业有限公司,京房售证字( 2024 ) 13 号,20240307,北京泛海东风置业有限公司
世园村二期,延庆新城YQ00-0300-0052地块,北京世园投资发展有限责任公司,京房售证字( 2024 ) 113 号,20241113,北京世园投资发展有限责任公司
润清雅园,北七家镇平西府土地一级开发项目B-02地块（CP-121101044009-012地块）R2二类居住用地,北京润能置业有限公司,京房售证字( 2022 ) 205 号,20221224,北京润能置业有限公司
金泷悦嘉苑,城乡一体化小瓦窑村旧村改造项目XWY-013地块,北京首钢海赋置业有限公司,京房售证字( 2022 ) 206 号,20221224,北京首钢海赋置业有限公司
润新嘉园,拱辰街道FS00-0111-0006地块、拱辰街道FS00-0111-0007地块,北京金信远置业有限公司,京房售证字( 2024 ) 56 号,20240629,北京金信远置业有限公司
璟宸商业中心,拱辰街道FS00-LX04-0092地块B1商业用地,北京鑫汇房地产开发有限公司,京房售证字( 2023 ) 121 号,20231106,北京鑫汇房地产开发有限公司
万吉嘉苑,酒仙桥街道1019-0014地块,北京新鑫兴业房地产开发有限公司,京房售证字( 2025 ) 43 号,20250427,北京新鑫兴业房地产开发有限公司
丽泽数字金融科技示范园,丰台区丽泽金融商务区FT00-0612-0018地块,北京金唐丽控置业发展有限公司,京房售证字( 2025 ) 50 号,20250513,北京金唐丽控置业发展有限公司
万芳园,花乡樊家村危改（万年花城）五号地,北京万年花城房地产开发有限责任公司,京房售证字( 2007 ) 81 号,20070324,北京万年花城房地产开发有限责任公司
三峡大厦,建国门内危改区三峡大厦,北京三峡大厦房地产有限公司,京房售证字( 2008 ) 21 号,20080119,北京三峡大厦房地产有限公司
金隅凤麟苑,姚家园西口265号东郊木材厂B地块,北京金隅嘉业房地产开发有限公司,京房售证字( 2007 ) 248 号,20070714,北京金隅嘉业房地产开发有限公司
龙之湾嘉园,天竺开发区21号地,北京英才房地产开发有限公司,京房售证字( 2008 ) 405 号,20081116,北京英才房地产开发有限公司
随园,城东富松住宅小区,北京市昌平房地产开发总公司,京房售证字( 2007 ) 447 号,20071129,北京市昌平房地产开发总公司
万芳园,花乡樊家村危改（万年花城）五号地,北京万年花城房地产开发有限责任公司,京房售证字( 2006 ) 405 号,20060925,北京万年花城房地产开发有限责任公司
褐石园,"厢白旗住宅小区10#-13#,15#,17#住宅楼",北京泰跃房地产开发有限责任公司,京房售证字( 2005 ) 117 号,20050411,北京泰跃房地产开发有限责任公司
大河庄苑,海淀区中关村西区周边大河庄苑,北京大河房地产开发有限公司,京房售证字( 2005 ) 135 号,20050429,北京大河房地产开发有限公司
蓝岸丽舍 ,南彩镇九王庄村,北京银座合智房地产开发有限公司,京房售证字( 2010 ) 12 号,20100115,北京银座合智房地产开发有限公司
龙之湾嘉园,天竺开发区,北京英才房地产开发有限公司,京房售证字( 2009 ) 183 号,20090613,北京英才房地产开发有限公司
龙之湾嘉园,天竺开发区21号地（北京英才国际村）,北京英才房地产开发有限公司,京房售证字( 2006 ) 303 号,20060807,北京英才房地产开发有限公司
丽喜南苑,高丽营镇夏县营村,北京顺鑫佳宇房地产开发有限公司,京房售证字( 2009 ) 4 号,20090110,北京顺鑫佳宇房地产开发有限公司
万芳园,花乡樊家村万年花城一号地,北京万年花城房地产开发有限责任公司,京房售证字( 2005 ) 511 号,20050930,北京万年花城房地产开发有限责任公司
上北创业中心,回龙观镇C09地块,北京东亚信鸿国际会展中心有限公司,京房售证字( 2007 ) 321 号,20070914,北京东亚信鸿国际会展中心有限公司
万象新天家园（三期）,常营乡（常营居住区一期工程三区301-306号楼）,北京天鸿置业有限公司,京房售证字( 2009 ) 29 号,20090307,北京天鸿置业有限公司
田家园,窦店镇田家园村田家园小区A、B地块,北京田家园房地产开发有限公司　,京房售证字( 2006 ) 573 号,20070102,北京田家园房地产开发有限公司　
熙府商业楼,桃园小区,北京城市开发集团有限责任公司,京房售证字( 2007 ) 36 号,20070130,北京城市开发集团有限责任公司
东亚奥北中心,东小口镇,北京联盟天地房地产开发有限公司,京房售证字( 2006 ) 378 号,20060917,北京联盟天地房地产开发有限公司
丽喜南苑,高丽营镇夏县营村,北京顺鑫佳宇房地产开发有限公司,京房售证字( 2009 ) 27 号,20090305,北京顺鑫佳宇房地产开发有限公司
金宝鑫园,马坡镇,北京金宝房地产开发有限公司,京房售证字( 2009 ) 277 号,20090822,北京金宝房地产开发有限公司
道丰园,中关村丰台园产业基地二期内34地块,北京中关村丰台园道丰科技商务园建设发展有限公司,京房售证字( 2010 ) 41 号,20100205,北京中关村丰台园道丰科技商务园建设发展有限公司
东山嘉园,朝阳区东四环北路7号 ,北京太合嘉园房地产开发有限责任公司,京房售证字( 2007 ) 369 号,20071014,北京太合嘉园房地产开发有限责任公司
